id,active,name,category,type,min_grade,min_duration,description
1224,0,"Acoplador","Infraestrutura","FIC","Ensino Fundamental Completo","240","Executa as operações de acoplamento e alinhamento de tubos, utilizando acopladeira interna ou externa, para permitir a soldagem, conforme necessidade de serviço e de acordo com o procedimento qualificado, normas técnicas e observando padrões de segurança, Meio Ambiente e Saúde (SMS) em obras de dutos terrestres."
1225,0,"Açougueiro","Produção Alimentícia","FIC","Ensino Fundamental II Incompleto","160","Desenvolve atividades relacionadas à identificação, à conservação, à transformação, à marcação, ao fatiamento, ao corte, à pesagem e à compactação de carnes, mantendo a higiene e limpeza do produto e do local de trabalho, conforme normas técnicas de higiene, qualidade, segurança e meio ambiente."
1226,0,"Aderecista","Produção Cultural e Design","FIC","Ensino Fundamental II Incompleto","200","Cria, monta, transforma ou duplica objetos cenográficos ou de indumentária seguindo orientações de cenógrafo e ou figurinista, utilizando-se de técnicas artesanais."
1227,0,"Adestrador de Cães","Desenvolvimento Educacional e Social","FIC","Ensino Fundamental II Incompleto","200","Adestra cães visando o controle do seu comportamento e obediência, utilizando métodos e técnicas apropriados. Zela pelo bem-estar físico e mental do animal."
1228,0,"Administrador de Banco de Dados","Informação e Comunicação","FIC","Ensino Médio Completo","200","Planeja, implementa, administra e realiza manutenção em servidores de banco de dados. Documenta todas as etapas do processo. Aplica políticas de segurança da informação para banco de dados, segundo procedimentos técnicos de qualidade e com respeito à propriedade intelectual. "
1229,0,"Administrador de Empreendimentos Florestais de Base Comunitária","Recursos Naturais","FIC","Ensino Fundamental Completo","160","Aplica métodos, técnicas e ferramentas que garantam a sobrevivência e/ou o desenvolvimento de um empreendimento florestal de base comunitária, de forma sustentável, ambiental e economicamente, levando em consideração as condições comerciais, produtivas e organizacionais locais e os objetivos socioeconômicos das comunidades envolvidas."
1230,0,"Agente Comunitário de Saúde","Ambiente e Saúde","FIC","Ensino Fundamental Completo","400","Atua como elo entre a equipe de saúde e a comunidade, mediando as distintas esferas da organização da vida social em conformidade com as diretrizes do SUS. Colabora na identificação do perfil epidemiológico da área adstrita, mobilizando estratégias de promoção da saúde."
1231,0,"Agente Cultural ","Produção Cultural e Design","FIC","Ensino Fundamental II Incompleto","160","Fomenta o resgate de conhecimentos e saberes culturais locais, criando espaços para divulgação e valorização  da comunidade, como forma de reafirmação da cultura local, valorização dos saberes e garantia de trabalho e renda para as famílias. "
1232,0,"Agente de Aeroporto","Infraestrutura","FIC","Ensino Médio Completo","200","Atua nas companhias aéreas nacionais e internacionais realizando check in, embarque e desembarque de passageiros, serviços de atendimento especial, busca de bagagem extraviada, reservas, informações e vendas de passagens aéreas nacionais e internacionais."
1233,0,"Agente de Alimentação Escolar","Desenvolvimento Educacional e Social","FIC","Ensino Fundamental Completo","160","Prepara e serve refeições escolares, segundo orientações de nutricionista ou cardápio. Higieniza os ingredientes, utensílios e ambientes de serviço. Pratica normas de segurança alimentar, observando controle de higiene, saúde e proteção ambiental, fundamentando-se nas concepções educacionais de atendimento ao educando."
1234,0,"Agente de Combate às Endemias","Ambiente e Saúde","FIC","Ensino Fundamental Completo","240","Atua na vigilância, prevenção, controle de doenças e promoção da saúde, em conformidade com as diretrizes do SUS e sob a supervisão do órgão gestor, zelando pela manutenção da saúde coletiva."
1235,0,"Agente de Desenvolvimento Cooperativista","Gestão e Negócios","FIC","Ensino Médio Incompleto","160","Atua no apoio e desenvolvimento de ações dos projetos de cooperativas, na constituição de cooperativas em comunidades locais, buscando os melhores resultados."
1236,0,"Agente de Desenvolvimento Socioambiental","Ambiente e Saúde","FIC","Ensino Fundamental Completo","160","Atua na mediação entre os cidadãos e os diversos segmentos da sociedade no planejamento e na implementação de projetos socioambientais."
